outbreak_escalation_rate,critical_network_threshold,baseline_outbreak_prob,baseline_network_density,meth_annual_growth_rate,housing_instability_rate,incarceration_annual_rate,ssp_coverage,oat_coverage,p_outbreak_current_policy,p_outbreak_decriminalization,p_outbreak_full_harm_reduction,p_outbreak_theoretical_max
4.263987085993573,0.31713973338842066,0.054613396139119676,0.19126445514114065,0.029682265363507862,0.7194040691140227,0.36917879551454247,0.281569859927454,0.042931632814835086,0.4788394788055938,0.4773923774689527,0.40839136305962515,0.09737182267251063
1.571917415051944,0.3856004400921904,0.035474751915589305,0.17547116773389376,0.017466074964599343,0.7542768989384938,0.38725775066786294,0.216833859762172,0.06346768902852862,0.08952292523363044,0.08942332184630264,0.08443337230489176,0.04915285244238831
3.5360807984576845,0.27884465811501763,0.03915898897054643,0.19484359708596183,0.025777140460129556,0.6579899564145969,0.4442500697314916,0.2805309488326111,0.12445219009130318,0.280649403126978,0.27994569955962423,0.24594393185863045,0.0748802942871156
2.495411594007259,0.29320060581171303,0.05847236073936616,0.1538342644506631,0.0204869510995654,0.5840438881154925,0.3591816341845132,0.1992370577037097,0.04763914113265191,0.21576158175497767,0.21542061148158176,0.19854528855096984,0.09386494848217057
1.7806035297333938,0.3073074998489299,0.0214766372676344,0.17905841597178734,0.027802056144861788,0.773854558916674,0.2913432529905741,0.2330237336320683,0.0981810435084393,0.06484756004951653,0.06476690321792757,0.060739932222320145,0.03368559630833462
1.3338059783068124,0.2887430609902481,0.0584931702005305,0.10304280601191282,0.04604604136932226,0.5816847522502722,0.21605463314580778,0.26287779678572465,0.09095679158712802,0.12126174796798751,0.12117158431497622,0.11661081504349687,0.08198244613253623
2.3120902294914183,0.4194081919884185,0.024931865978322552,0.1863353181064097,0.046936134127046,0.6588071523805243,0.42406475067489546,0.19624426118716642,0.0791416775455566,0.07444657812268198,0.07432647889320149,0.06838760034468154,0.03144751299736095
1.5218717482040223,0.2510275665433787,0.051447448456757056,0.09751672873399242,0.04908986959066038,0.7858629276696992,0.4438057019869457,0.27851437461164463,0.07529039035836499,0.1390759777295023,0.1389376484938759,0.13198624680875357,0.08237832962359437
4.727674951487575,0.3493655491368559,0.07686567816032935,0.15518443252419561,0.034183431455511,0.7940551126758993,0.2875658505349902,0.20677671721427326,0.12272506432594757,0.618274396435303,0.6162861126543785,0.5219508252839757,0.11350157785258365
3.230235008764505,0.439430861534261,0.041157094617632194,0.14895462590033615,0.0489862526474516,0.663843106489654,0.39947195050596873,0.26109973067482517,0.05729340755250728,0.13200126891714412,0.13172033951993103,0.11801267857216845,0.045786055340683425
